Id,SalePrice
1,129999.0196965946
2,163905.4236818476
3,189508.0514664375
4,201612.13158890363
5,197057.89662803506
6,180107.45269664598
7,165940.50920535802
8,169078.38180173218
9,186700.83566093488
10,127581.86068570371
11,185161.13731311515
12,94609.52763098659
13,98144.4484096739
14,145760.12677130022
15,113192.61375904412
16,370186.0321925413
17,250529.84149697094
18,296873.70503789035
19,292589.5911804273
20,505681.8282404949
21,305892.6842501146
22,206449.12231004552
23,174759.72524108284
24,166508.94984877683
25,181138.6107372902
26,196582.13349761436
27,336956.2329333803
28,232105.8780962869
29,214008.76911573872
30,247492.57290055862
31,187005.1107531525
32,98309.75089480243
33,189609.90057655814
34,285215.704438904
35,279694.64366718195
36,234690.3527860619
37,188305.24270837984
38,167586.3994612725
39,168637.39074976594
40,162839.45558433028
41,175470.27588073202
42,158185.65845807688
43,288131.5906845416
44,245579.2959020092
45,234825.66306087121
46,187731.44607160226
47,262071.1678032888
48,200761.43194476096
49,157444.45261694374
50,150523.25039800408
51,143371.21496355234
52,174566.0915492681
53,136062.24083044296
54,180917.85466593836
55,186623.63936684304
56,150004.00591184315
57,165172.79627598103
58,136160.19827259597
59,225364.23980917863
60,132253.00628176576
61,133892.4305720052
62,163642.6798891283
63,111414.23017521096
64,117486.39236786874
65,118543.26807686409
66,113302.05194413633
67,104148.71326714034
68,133743.38851337694
69,156772.06213352655
70,168662.82724590585
71,103706.61820028619
72,105331.35665901324
73,147814.99239500833
74,115945.78706028343
75,154061.99571533236
76,113643.66526262864
77,69244.1610102016
78,143656.41012756826
79,194087.3731960041
80,98783.26542702377
81,133000.5729680035
82,143044.5308902808
83,198857.67601986666
84,81554.31852555378
85,109565.11232789783
86,125843.68252358852
87,148746.72695236935
88,141139.29560136094
89,119990.07537826503
90,148174.08480404923
91,112518.94377722859
92,144333.82027909628
93,150564.75128133874
94,112177.00368851425
95,169944.76450795212
96,85117.01405845166
97,97805.4919195753
98,98438.19859452434
99,96823.8183045985
100,135695.67042623932
101,135048.27021018876
102,133990.8822703782
103,124625.78925923593
104,166753.21132017975
105,149834.3210937865
106,229680.84163921216
107,76513.73587969324
108,231224.39766133006
109,142174.85823772487
110,142245.24063041908
111,115497.78675681683
112,151963.82829559591
113,268363.58618260256
114,128829.30775523101
115,229076.81026704024
116,254851.9819598232
117,198381.0100841997
118,134017.24906022867
119,145916.07113472576
120,194866.48832822274
121,155054.65576329443
122,126573.28795751525
123,313235.4453659309
124,229143.1299418955
125,137739.41390638184
126,71869.43348041728
127,95839.00143556115
128,159972.87804705618
129,97276.25167090121
130,130904.44930609321
131,95244.45249609428
132,123971.96405116853
133,128243.54137601469
134,138619.1766573157
135,121434.2323108621
136,230987.9394869211
137,183323.6747044676
138,216534.3190463155
139,179664.1188011758
140,169271.1246533105
141,68511.72253260529
142,114290.47872523712
143,97934.61806891479
144,282887.62405922625
145,239241.80090015134
146,166605.78842875754
147,175056.59763321793
148,212631.38709828793
149,182627.6604232869
150,140855.21286701626
151,137702.75440073718
152,170841.6679456011
153,171391.38474579484
154,130356.30963078284
155,93431.25757323176
156,69672.18571501899
157,92945.23014525443
158,122178.93645669553
159,143893.67138998065
160,189952.16164135057
161,131698.19444289035
162,138756.96812804005
163,269557.0837730264
164,224223.2215456547
165,123769.4087421107
166,154842.98660090214
167,190207.18939789178
168,279617.929046017
169,175535.4961455157
170,354871.56747460255
171,212627.84204374434
172,232853.27436603306
173,176319.4767701838
174,189712.54693785994
175,176066.00336270637
176,159204.45051968962
177,184152.03254011605
178,189032.06335808247
179,177036.5187088783
180,246322.14397751002
181,170962.63241298043
182,238312.75128810375
183,229616.72347347872
184,236106.35109264328
185,196700.9512038674
186,161361.92313228513
187,156546.7534295294
188,136669.3513989696
189,143925.7456572232
190,116573.19736175534
191,121229.56280344083
192,95796.82724291884
193,96675.46038261327
194,144897.44302130927
195,141679.1526098749
196,144214.70435708386
197,146427.5756601221
198,147806.33959085267
199,120405.32916355238
200,156369.27979010192
201,463285.78249459533
202,371876.25637931976
203,382192.044097632
204,484071.91255950474
205,312610.0253370325
206,352693.2577286907
207,360507.68318218156
208,341042.816889259
209,291428.6075566035
210,358838.9582506271
211,249028.97927574144
212,453933.48349305894
213,299786.00971584406
214,235646.9367644661
215,190228.13369849426
216,197128.32496803062
217,220369.81312009663
218,478115.0973263602
219,412758.9041435161
220,321098.55203724833
221,254993.83284096853
222,308996.32826403336
223,179052.92385820957
224,174977.97322637422
225,165933.853889426
226,167940.51331940462
227,164432.90098726942
228,194639.70198961804
229,196908.98262806894
230,190284.04927474307
231,187859.05469733715
232,258217.74425042424
233,173813.2757072109
234,183407.81789313216
235,166779.3441921688
236,265609.19616429607
237,168994.16541770592
238,362942.7239720652
239,311396.8186017065
240,255240.50745485022
241,261116.24530262128
242,247817.0568266409
243,255945.45695389554
244,277704.5180918712
245,226866.91898984005
246,454749.6526309335
247,218008.05038069797
248,211173.35857041753
249,268688.3520699062
250,233345.8743962074
251,273297.5519243103
252,259345.22488497556
253,291409.8664297663
254,226786.18433463498
255,217497.2615832449
256,179697.10001570656
257,168860.7522447568
258,135877.77769479496
259,196242.85624930894
260,237454.19361343616
261,169895.36711785902
262,135362.947329501
263,160490.08860000226
264,218696.59660822654
265,239584.4679363941
266,191264.51887521308
267,160460.75665257755
268,176716.2939313683
269,168612.6495700669
270,154756.4493512341
271,123416.78566342632
272,135972.0581046478
273,125588.93681223187
274,127198.49850860104
275,137721.93198964823
276,120609.97621144982
277,303492.7553411136
278,226532.99944533556
279,278791.4280489339
280,237460.99073649143
281,212247.23405872256
282,168667.7744638744
283,172218.3447861333
284,290729.3737165194
285,226659.24297245452
286,180749.37105081466
287,222530.48960567734
288,215373.1012992741
289,161108.30119165388
290,127912.53209379595
291,229937.49686509135
292,123018.68000870553
293,156366.782093166
294,190369.7573925513
295,168259.49175227495
296,132915.00814500777
297,122583.24852394054
298,151088.95442828594
299,152405.27571301346
300,169479.56616937267
301,136500.7644526899
302,187257.14719344376
303,168838.26294213248
304,120010.32847391829
305,169017.52033234673
306,172694.18159073935
307,216545.40841112076
308,147211.44925903628
309,168116.62700125514
310,148777.7121699469
311,133166.9440108588
312,134285.943113703
313,127776.77424661478
314,147416.43951464017
315,141098.1074926723
316,125024.76147081796
317,114108.64383478287
318,137380.3714069696
319,122124.09312342184
320,171872.1898195116
321,132682.0359575774
322,92615.62079449109
323,146404.90960871312
324,98613.98486392548
325,129947.54966509582
326,140065.24857154454
327,168452.18431629098
328,70958.5850135262
329,103188.59467713471
330,81094.62453712361
331,175269.49942265393
332,156230.92155737986
333,115547.66155550556
334,148557.33171331164
335,126636.36851583433
336,131353.12661186213
337,117883.20714641607
338,129774.8811834021
339,115068.30358581798
340,144939.08801373985
341,137582.983138958
342,126917.93528924418
343,137601.48707637863
344,149799.26532185468
345,133641.6519472004
346,120440.35935955231
347,117045.12673317945
348,128801.35845983456
349,126422.19992140585
350,151715.62776712573
351,99894.38315818601
